page_id,title,admin_url,public_url,missing_images
45,PowerPoint Presentation Pulley,https://holy-land-photos.vercel.app/admin/collections/pages/45,https://holy-land-photos.vercel.app/pages/powerpoint-presentation-pulley,myra-ppt.jpg
46,Carl's Trial Pulley,https://holy-land-photos.vercel.app/admin/collections/pages/46,https://holy-land-photos.vercel.app/pages/carls-trial-pulley,a-Trial.jpg; myra-ppt.jpg
47,PowerPoint Presentations Pulley,https://holy-land-photos.vercel.app/admin/collections/pages/47,https://holy-land-photos.vercel.app/pages/powerpoint-presentations-pulley,Herodium.jpg; a-Bethlehem.jpg; myra-ppt.jpg
50,15 Day Bible Study Tour to Turkey April/May 2024,https://holy-land-photos.vercel.app/admin/collections/pages/50,https://holy-land-photos.vercel.app/pages/15-day-bible-study-tour-to-turkey-aprilmay-2024,IFOP2115.jpg; Turkey (no extension)
56,13–Day Tour — Exploring Biblical Israel from Dan to Beersheba Oct 2024,https://holy-land-photos.vercel.app/admin/collections/pages/56,https://holy-land-photos.vercel.app/pages/13day-tour-exploring-biblical-israel-from-dan-to-beersheba-oct-2024,CarlMaryOlives01 (no extension)
57,Following Paul from Shipwreck on Malta to Martyrdom in Rome — a 14–Day Tour,https://holy-land-photos.vercel.app/admin/collections/pages/57,https://holy-land-photos.vercel.app/pages/following-paul-from-shipwreck-on-malta-to-martyrdom-in-rome-a-14day-tour,Malta (no extension)
59,9 Day Bible Study Tour of Greece — May 2024,https://holy-land-photos.vercel.app/admin/collections/pages/59,https://holy-land-photos.vercel.app/pages/9-day-bible-study-tour-of-greece-may-2024,Philippi (no extension)
61,Advent / Christmas Images,https://holy-land-photos.vercel.app/admin/collections/pages/61,https://holy-land-photos.vercel.app/pages/advent-christmas-images,BethlehemGrotto.jpg
62,Oct 2024 — Exploring Biblcal Anatolia and Eastern Turkey,https://holy-land-photos.vercel.app/admin/collections/pages/62,https://holy-land-photos.vercel.app/pages/oct-2024-exploring-biblcal-anatolia-and-eastern-turkey,EBA04.jpg
63,Tour — Turkey and Greece – April/May 2026,https://holy-land-photos.vercel.app/admin/collections/pages/63,https://holy-land-photos.vercel.app/pages/tour-turkey-and-greece-aprilmay-2026,IFOTA (no extension)
